,T,NT,stimuli,greedy,action,action*,reward,q,epsilon,alpha,chose_big,fixed_action
0,1,1,"[0.625, 0.635]",1,0,0,0.625,"[[0. 5.]
 [0. 5.]
 [0. 5.]]",0.0,0.9,0,1
1,2,3,"[0.925, 0.935]",1,1,1,0.935,"[[0.562 5.   ]
 [0.    5.   ]
 [0.    5.   ]]",0.0,0.9,1,1
2,3,1,"[0.635, 0.625]",1,1,0,0.635,"[[0.562 5.   ]
 [0.    5.   ]
 [0.    1.342]]",0.0,0.9,1,1
3,4,2,"[0.325, 0.335]",1,1,1,0.335,"[[0.562 1.072]
 [0.    5.   ]
 [0.    1.342]]",0.0,0.9,1,1
4,5,1,"[0.405, 0.415]",1,1,0,0.415,"[[0.562 1.072]
 [0.    0.801]
 [0.    1.342]]",0.0,0.9,1,1
5,6,2,"[0.105, 0.115]",1,1,1,0.115,"[[0.562 0.481]
 [0.    0.801]
 [0.    1.342]]",0.0,0.9,1,1
6,7,1,"[0.465, 0.475]",1,0,0,0.465,"[[0.562 0.481]
 [0.    0.184]
 [0.    1.342]]",0.0,0.9,0,1
7,8,3,"[0.765, 0.775]",1,1,1,0.775,"[[0.475 0.481]
 [0.    0.184]
 [0.    1.342]]",0.0,0.9,1,1
8,9,1,"[0.575, 0.585]",1,1,0,0.585,"[[0.475 0.481]
 [0.    0.184]
 [0.    0.832]]",0.0,0.9,1,1
9,10,2,"[0.285, 0.275]",1,0,1,0.275,"[[0.475 0.575]
 [0.    0.184]
 [0.    0.832]]",0.0,0.9,0,1
10,11,1,"[0.525, 0.515]",1,0,0,0.515,"[[0.475 0.575]
 [0.248 0.184]
 [0.    0.832]]",0.0,0.9,0,1
11,12,3,"[0.815, 0.825]",1,0,1,0.815,"[[0.511 0.575]
 [0.248 0.184]
 [0.    0.832]]",0.0,0.9,0,1
12,13,1,"[0.635, 0.625]",1,0,0,0.625,"[[0.511 0.575]
 [0.248 0.184]
 [0.733 0.832]]",0.0,0.9,0,1
13,14,3,"[0.935, 0.925]",1,1,1,0.935,"[[0.614 0.575]
 [0.248 0.184]
 [0.733 0.832]]",0.0,0.9,1,1
14,15,1,"[0.335, 0.345]",1,0,0,0.335,"[[0.614 0.575]
 [0.248 0.184]
 [0.733 0.925]]",0.0,0.9,0,0
15,16,3,"[0.645, 0.635]",1,1,1,0.645,"[[0.363 0.575]
 [0.248 0.184]
 [0.733 0.925]]",0.0,0.9,1,0
16,17,1,"[0.515, 0.525]",1,1,0,0.525,"[[0.363 0.575]
 [0.248 0.184]
 [0.733 0.673]]",0.0,0.9,1,0
17,18,2,"[0.225, 0.215]",1,0,1,0.215,"[[0.363 0.53 ]
 [0.248 0.184]
 [0.733 0.673]]",0.0,0.9,0,0
18,19,1,"[0.625, 0.635]",1,1,0,0.635,"[[0.363 0.53 ]
 [0.218 0.184]
 [0.733 0.673]]",0.0,0.9,1,0
19,20,2,"[0.325, 0.335]",1,0,1,0.325,"[[0.363 0.624]
 [0.218 0.184]
 [0.733 0.673]]",0.0,0.9,0,0
20,21,1,"[0.565, 0.555]",1,1,0,0.565,"[[0.363 0.624]
 [0.314 0.184]
 [0.733 0.673]]",0.0,0.9,1,0
21,22,2,"[0.255, 0.265]",1,0,1,0.255,"[[0.363 0.571]
 [0.314 0.184]
 [0.733 0.673]]",0.0,0.9,0,0
22,23,1,"[0.645, 0.635]",1,1,0,0.645,"[[0.363 0.571]
 [0.261 0.184]
 [0.733 0.673]]",0.0,0.9,1,0
23,24,2,"[0.345, 0.335]",1,0,1,0.335,"[[0.363 0.638]
 [0.261 0.184]
 [0.733 0.673]]",0.0,0.9,0,0
24,25,1,"[0.585, 0.595]",1,1,0,0.595,"[[0.363 0.638]
 [0.328 0.184]
 [0.733 0.673]]",0.0,0.9,1,0
25,26,2,"[0.295, 0.285]",1,0,1,0.285,"[[0.363 0.599]
 [0.328 0.184]
 [0.733 0.673]]",0.0,0.9,0,0
26,27,1,"[0.335, 0.325]",1,1,0,0.335,"[[0.363 0.599]
 [0.289 0.184]
 [0.733 0.673]]",0.0,0.9,1,0
27,28,2,"[0.025, 0.035]",1,0,1,0.025,"[[0.363 0.361]
 [0.289 0.184]
 [0.733 0.673]]",0.0,0.9,0,0
28,29,1,"[0.365, 0.355]",1,0,0,0.355,"[[0.363 0.361]
 [0.051 0.184]
 [0.733 0.673]]",0.0,0.9,0,0
29,30,3,"[0.665, 0.655]",1,0,1,0.655,"[[0.356 0.361]
 [0.051 0.184]
 [0.733 0.673]]",0.0,0.9,0,0
