,alpha,temperature,agent_state,q_table,correct
0,0.9,50.0,2,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",1
1,0.9,50.0,8,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.6075], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",1
2,0.9,45.0,2,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.6075], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.6075]]",1
3,0.9,45.0,8,"[[0.0, 0.0], [0.0, 0.0], [0.0, 1.5030000000000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.6075]]",1
4,0.9,40.5,2,"[[0.0, 0.0], [0.0, 0.0], [0.0, 1.5030000000000001], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.95625]]",1
5,0.9,40.5,8,"[[0.0, 0.0], [0.0, 0.0], [0.0, 1.762425], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.95625]]",1
6,0.9,36.45,2,"[[0.0, 0.0], [0.0, 0.0], [0.0, 1.762425], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.847125]]",0
7,0.9,36.45,7,"[[0.0, 0.0], [0.0, 0.0], [0.5805, 1.762425], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.847125]]",1
8,0.9,32.80500000000001,1,"[[0.0, 0.0], [0.0, 0.0], [0.5805, 1.762425], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.8955], [0.0, 0.847125]]",0
9,0.9,32.80500000000001,5,"[[0.0, 0.0], [0.5040000000000001, 0.0], [0.5805, 1.762425], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.8955], [0.0, 0.847125]]",1
10,0.9,29.524500000000007,2,"[[0.0, 0.0], [0.5040000000000001, 0.0], [0.5805, 1.762425], [0.0, 0.0], [0.0, 0.0], [0.0, 0.684], [0.0, 0.0], [0.0, 0.8955], [0.0, 0.847125]]",0
11,0.9,29.524500000000007,7,"[[0.0, 0.0], [0.5040000000000001, 0.0], [1.3005, 1.762425], [0.0, 0.0], [0.0, 0.0], [0.0, 0.684], [0.0, 0.0], [0.0, 0.8955], [0.0, 0.847125]]",1
12,0.9,26.572050000000008,2,"[[0.0, 0.0], [0.5040000000000001, 0.0], [1.3005, 1.762425], [0.0, 0.0], [0.0, 0.0], [0.0, 0.684], [0.0, 0.0], [0.0, 0.84105], [0.0, 0.847125]]",1
13,0.9,26.572050000000008,8,"[[0.0, 0.0], [0.5040000000000001, 0.0], [1.3005, 1.834155], [0.0, 0.0], [0.0, 0.0], [0.0, 0.684], [0.0, 0.0], [0.0, 0.84105], [0.0, 0.847125]]",1
14,0.9,23.914845000000007,0,"[[0.0, 0.0], [0.5040000000000001, 0.0], [1.3005, 1.834155], [0.0, 0.0], [0.0, 0.0], [0.0, 0.684], [0.0, 0.0], [0.0, 0.84105], [0.0, 0.9802125]]",0
15,0.9,23.914845000000007,3,"[[0.5715, 0.0], [0.5040000000000001, 0.0], [1.3005, 1.834155], [0.0, 0.0], [0.0, 0.0], [0.0, 0.684], [0.0, 0.0], [0.0, 0.84105], [0.0, 0.9802125]]",1
16,0.9,21.523360500000006,2,"[[0.5715, 0.0], [0.5040000000000001, 0.0], [1.3005, 1.834155], [0.0, 0.6165], [0.0, 0.0], [0.0, 0.684], [0.0, 0.0], [0.0, 0.84105], [0.0, 0.9802125]]",0
17,0.9,21.523360500000006,7,"[[0.5715, 0.0], [0.5040000000000001, 0.0], [1.179495, 1.834155], [0.0, 0.6165], [0.0, 0.0], [0.0, 0.684], [0.0, 0.0], [0.0, 0.84105], [0.0, 0.9802125]]",1
18,0.9,19.371024450000007,1,"[[0.5715, 0.0], [0.5040000000000001, 0.0], [1.179495, 1.834155], [0.0, 0.6165], [0.0, 0.0], [0.0, 0.684], [0.0, 0.0], [0.0, 0.691605], [0.0, 0.9802125]]",0
19,0.9,19.371024450000007,5,"[[0.5715, 0.0], [0.738, 0.0], [1.179495, 1.834155], [0.0, 0.6165], [0.0, 0.0], [0.0, 0.684], [0.0, 0.0], [0.0, 0.691605], [0.0, 0.9802125]]",1
20,0.9,17.433922005000007,0,"[[0.5715, 0.0], [0.738, 0.0], [1.179495, 1.834155], [0.0, 0.6165], [0.0, 0.0], [0.0, 0.3204], [0.0, 0.0], [0.0, 0.691605], [0.0, 0.9802125]]",1
21,0.9,17.433922005000007,4,"[[0.5715, 0.6165], [0.738, 0.0], [1.179495, 1.834155], [0.0, 0.6165], [0.0, 0.0], [0.0, 0.3204], [0.0, 0.0], [0.0, 0.691605], [0.0, 0.9802125]]",1
22,0.9,15.690529804500006,1,"[[0.5715, 0.6165], [0.738, 0.0], [1.179495, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.3204], [0.0, 0.0], [0.0, 0.691605], [0.0, 0.9802125]]",1
23,0.9,15.690529804500006,6,"[[0.5715, 0.6165], [0.738, 0.396], [1.179495, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.3204], [0.0, 0.0], [0.0, 0.691605], [0.0, 0.9802125]]",1
24,0.9,14.121476824050006,1,"[[0.5715, 0.6165], [0.738, 0.396], [1.179495, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.3204], [0.0, 0.396], [0.0, 0.691605], [0.0, 0.9802125]]",0
25,0.9,14.121476824050006,5,"[[0.5715, 0.6165], [0.43416000000000005, 0.396], [1.179495, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.3204], [0.0, 0.396], [0.0, 0.691605], [0.0, 0.9802125]]",1
26,0.9,12.709329141645005,2,"[[0.5715, 0.6165], [0.43416000000000005, 0.396], [1.179495, 1.834155], [0.0, 0.6165], [0.0, 0.6165], [0.0, 0.28404], [0.0, 0.396], [0.0, 0.691605], [0.0, 0.9802125]]",0
