,g,episode,trial,m,d,state_id,stimuli,action
0,0.3,1,1,0.51,0.05,0,"[0.485, 0.535]",0
1,0.3,1,2,0.51,0.05,2,"[0.785, 0.835]",0
2,0.3,2,1,0.49,0.05,0,"[0.535, 0.485]",0
3,0.3,2,2,0.49,0.05,2,"[0.765, 0.815]",0
4,0.3,3,1,0.49,0.2,0,"[0.515, 0.465]",0
5,0.3,3,2,0.49,0.2,2,"[0.89, 0.69]",1
6,0.3,4,1,0.48,0.2,0,"[0.59, 0.39]",1
7,0.3,4,2,0.48,0.2,1,"[0.08, 0.28]",0
8,0.3,5,1,0.52,0.05,0,"[0.38, 0.58]",0
9,0.3,5,2,0.52,0.05,2,"[0.845, 0.795]",0
10,0.3,6,1,0.5,0.05,0,"[0.545, 0.495]",0
11,0.3,6,2,0.5,0.05,2,"[0.775, 0.825]",0
12,0.3,7,1,0.5,0.05,0,"[0.525, 0.475]",0
13,0.3,7,2,0.5,0.05,2,"[0.825, 0.775]",0
14,0.3,8,1,0.5,0.35,0,"[0.525, 0.475]",0
15,0.3,8,2,0.5,0.35,2,"[0.625, 0.975]",0
16,0.3,9,1,0.49,0.35,0,"[0.325, 0.675]",0
17,0.3,9,2,0.49,0.35,2,"[0.615, 0.965]",0
18,0.3,10,1,0.52,0.2,0,"[0.315, 0.665]",0
19,0.3,10,2,0.52,0.2,2,"[0.92, 0.72]",0
20,0.3,11,1,0.52,0.05,0,"[0.62, 0.42]",0
21,0.3,11,2,0.52,0.05,2,"[0.845, 0.795]",0
22,0.3,12,1,0.49,0.05,0,"[0.545, 0.495]",0
23,0.3,12,2,0.49,0.05,2,"[0.765, 0.815]",0
24,0.3,13,1,0.52,0.2,0,"[0.465, 0.515]",0
25,0.3,13,2,0.52,0.2,2,"[0.92, 0.72]",0
26,0.3,14,1,0.52,0.35,0,"[0.62, 0.42]",0
27,0.3,14,2,0.52,0.35,2,"[0.645, 0.995]",0
28,0.3,15,1,0.51,0.2,0,"[0.345, 0.695]",0
29,0.3,15,2,0.51,0.2,2,"[0.71, 0.91]",0
30,0.3,16,1,0.5,0.05,0,"[0.41, 0.61]",0
31,0.3,16,2,0.5,0.05,2,"[0.775, 0.825]",0
32,0.3,17,1,0.51,0.2,0,"[0.475, 0.525]",0
33,0.3,17,2,0.51,0.2,2,"[0.71, 0.91]",0
34,0.3,18,1,0.52,0.2,0,"[0.61, 0.41]",0
35,0.3,18,2,0.52,0.2,2,"[0.92, 0.72]",0
36,0.3,19,1,0.52,0.35,0,"[0.42, 0.62]",1
37,0.3,19,2,0.52,0.35,1,"[0.395, 0.045]",0
38,0.3,20,1,0.52,0.05,0,"[0.695, 0.345]",0
39,0.3,20,2,0.52,0.05,2,"[0.845, 0.795]",0
40,0.3,21,1,0.48,0.35,0,"[0.495, 0.545]",1
41,0.3,21,2,0.48,0.35,1,"[0.355, 0.005]",0
42,0.3,22,1,0.5,0.35,0,"[0.655, 0.305]",0
43,0.3,22,2,0.5,0.35,2,"[0.975, 0.625]",0
44,0.3,23,1,0.5,0.35,0,"[0.325, 0.675]",0
45,0.3,23,2,0.5,0.35,2,"[0.625, 0.975]",0
46,0.3,24,1,0.51,0.2,0,"[0.675, 0.325]",0
47,0.3,24,2,0.51,0.2,2,"[0.71, 0.91]",0
48,0.3,25,1,0.52,0.35,0,"[0.61, 0.41]",0
49,0.3,25,2,0.52,0.35,2,"[0.645, 0.995]",0
50,0.3,26,1,0.5,0.35,0,"[0.345, 0.695]",0
51,0.3,26,2,0.5,0.35,2,"[0.975, 0.625]",0
52,0.3,27,1,0.48,0.35,0,"[0.325, 0.675]",0
53,0.3,27,2,0.48,0.35,2,"[0.605, 0.955]",0
54,0.3,28,1,0.52,0.35,0,"[0.655, 0.305]",0
55,0.3,28,2,0.52,0.35,2,"[0.995, 0.645]",0
56,0.3,29,1,0.48,0.35,0,"[0.695, 0.345]",0
57,0.3,29,2,0.48,0.35,2,"[0.605, 0.955]",0
58,0.3,30,1,0.48,0.2,0,"[0.305, 0.655]",0
59,0.3,30,2,0.48,0.2,2,"[0.68, 0.88]",0
60,0.0,1,1,0.825,0.05,0,"[0.38, 0.58]",0
61,0.0,1,2,0.825,0.05,2,"[0.85, 0.8]",0
62,0.0,2,1,0.82,0.35,0,"[0.8, 0.85]",0
63,0.0,2,2,0.82,0.35,2,"[0.645, 0.995]",0
64,0.0,3,1,0.66,0.35,0,"[0.645, 0.995]",1
65,0.0,3,2,0.66,0.35,1,"[0.485, 0.835]",0
66,0.0,4,1,0.34,0.05,0,"[0.835, 0.485]",0
67,0.0,4,2,0.34,0.05,2,"[0.365, 0.315]",1
68,0.0,5,1,0.66,0.05,0,"[0.315, 0.365]",0
69,0.0,5,2,0.66,0.05,2,"[0.685, 0.635]",0
