,g,episode,trial,m,d,state,stimuli,action
0,0.3,1,1,0.6,0.01,0,"[0.595, 0.605]",0
1,0.3,1,2,0.6,0.01,2,"[0.9049999999999999, 0.8949999999999999]",0
2,0.3,1,3,0.53,0.01,0,"[0.605, 0.595]",0
3,0.3,2,4,0.53,0.01,2,"[0.8350000000000001, 0.8250000000000001]",0
4,0.3,2,5,0.51,0.01,0,"[0.535, 0.525]",0
5,0.3,3,6,0.51,0.01,2,"[0.8150000000000001, 0.805]",0
6,0.3,3,7,0.58,0.01,0,"[0.515, 0.505]",0
7,0.3,4,8,0.58,0.01,2,"[0.8849999999999999, 0.8749999999999999]",0
8,0.3,4,9,0.58,0.15,0,"[0.575, 0.585]",0
9,0.3,5,10,0.58,0.15,2,"[0.8049999999999999, 0.9549999999999998]",0
10,0.3,5,11,0.6,0.2,0,"[0.505, 0.6549999999999999]",0
11,0.3,6,12,0.6,0.2,2,"[0.7999999999999999, 0.9999999999999999]",0
12,0.3,6,13,0.44,0.01,0,"[0.5, 0.7]",0
13,0.3,7,14,0.44,0.01,2,"[0.745, 0.735]",0
14,0.3,7,15,0.56,0.01,0,"[0.445, 0.435]",0
15,0.3,8,16,0.56,0.01,2,"[0.8550000000000001, 0.8650000000000001]",0
16,0.3,8,17,0.4,0.01,0,"[0.555, 0.5650000000000001]",0
17,0.3,9,18,0.4,0.01,2,"[0.705, 0.695]",0
18,0.3,9,19,0.51,0.01,0,"[0.395, 0.405]",0
19,0.3,10,20,0.51,0.01,2,"[0.8150000000000001, 0.805]",0
20,0.3,10,21,0.4,0.05,0,"[0.505, 0.515]",0
21,0.3,11,22,0.4,0.05,2,"[0.6749999999999999, 0.725]",0
22,0.3,11,23,0.4,0.15,0,"[0.42500000000000004, 0.375]",0
23,0.3,12,24,0.4,0.15,2,"[0.7749999999999999, 0.625]",0
24,0.3,12,25,0.51,0.15,0,"[0.325, 0.47500000000000003]",0
25,0.3,13,26,0.51,0.15,2,"[0.885, 0.7350000000000001]",0
26,0.3,13,27,0.53,0.05,0,"[0.435, 0.585]",0
27,0.3,14,28,0.53,0.05,2,"[0.805, 0.8550000000000001]",0
28,0.3,14,29,0.47,0.01,0,"[0.555, 0.505]",0
29,0.3,15,30,0.47,0.01,2,"[0.765, 0.775]",0
30,0.3,15,31,0.49,0.2,0,"[0.475, 0.46499999999999997]",0
31,0.3,16,32,0.49,0.2,2,"[0.6900000000000001, 0.89]",0
32,0.3,16,33,0.49,0.1,0,"[0.39, 0.59]",0
